case,iter,status_code,latency_ms,prediction,timestamp_start_iso
fake_2,1,200,63.86,FAKE,2025-11-14T11:02:41
fake_2,2,200,61.85,FAKE,2025-11-14T11:02:41
fake_2,3,200,61.33,FAKE,2025-11-14T11:02:41
fake_2,4,200,66.9,FAKE,2025-11-14T11:02:41
fake_2,5,200,58.69,FAKE,2025-11-14T11:02:41
fake_2,6,200,83.2,FAKE,2025-11-14T11:02:41
fake_2,7,200,91.59,FAKE,2025-11-14T11:02:42
fake_2,8,200,102.78,FAKE,2025-11-14T11:02:42
fake_2,9,200,77.44,FAKE,2025-11-14T11:02:42
fake_2,10,200,61.03,FAKE,2025-11-14T11:02:42
fake_2,11,200,83.51,FAKE,2025-11-14T11:02:42
fake_2,12,200,73.41,FAKE,2025-11-14T11:02:42
fake_2,13,200,58.31,FAKE,2025-11-14T11:02:42
fake_2,14,200,58.76,FAKE,2025-11-14T11:02:42
fake_2,15,200,89.67,FAKE,2025-11-14T11:02:42
fake_2,16,200,63.23,FAKE,2025-11-14T11:02:42
fake_2,17,200,79.01,FAKE,2025-11-14T11:02:42
fake_2,18,200,60.65,FAKE,2025-11-14T11:02:42
fake_2,19,200,64.79,FAKE,2025-11-14T11:02:42
fake_2,20,200,56.15,FAKE,2025-11-14T11:02:43
fake_2,21,200,71.28,FAKE,2025-11-14T11:02:43
fake_2,22,200,90.84,FAKE,2025-11-14T11:02:43
fake_2,23,200,68.49,FAKE,2025-11-14T11:02:43
fake_2,24,200,80.0,FAKE,2025-11-14T11:02:43
fake_2,25,200,81.78,FAKE,2025-11-14T11:02:43
fake_2,26,200,72.24,FAKE,2025-11-14T11:02:43
fake_2,27,200,56.54,FAKE,2025-11-14T11:02:43
fake_2,28,200,58.8,FAKE,2025-11-14T11:02:43
fake_2,29,200,63.73,FAKE,2025-11-14T11:02:43
fake_2,30,200,66.49,FAKE,2025-11-14T11:02:43
fake_2,31,200,65.88,FAKE,2025-11-14T11:02:43
fake_2,32,200,57.97,FAKE,2025-11-14T11:02:43
fake_2,33,200,63.79,FAKE,2025-11-14T11:02:43
fake_2,34,200,74.56,FAKE,2025-11-14T11:02:43
fake_2,35,200,69.32,FAKE,2025-11-14T11:02:44
fake_2,36,200,60.73,FAKE,2025-11-14T11:02:44
fake_2,37,200,94.88,FAKE,2025-11-14T11:02:44
fake_2,38,200,58.81,FAKE,2025-11-14T11:02:44
fake_2,39,200,69.56,FAKE,2025-11-14T11:02:44
fake_2,40,200,72.21,FAKE,2025-11-14T11:02:44
fake_2,41,200,61.35,FAKE,2025-11-14T11:02:44
fake_2,42,200,61.75,FAKE,2025-11-14T11:02:44
fake_2,43,200,64.1,FAKE,2025-11-14T11:02:44
fake_2,44,200,65.1,FAKE,2025-11-14T11:02:44
fake_2,45,200,59.21,FAKE,2025-11-14T11:02:44
fake_2,46,200,59.35,FAKE,2025-11-14T11:02:44
fake_2,47,200,85.26,FAKE,2025-11-14T11:02:44
fake_2,48,200,58.16,FAKE,2025-11-14T11:02:44
fake_2,49,200,54.79,FAKE,2025-11-14T11:02:44
fake_2,50,200,67.5,FAKE,2025-11-14T11:02:45
fake_2,51,200,58.35,FAKE,2025-11-14T11:02:45
fake_2,52,200,76.68,FAKE,2025-11-14T11:02:45
fake_2,53,200,74.97,FAKE,2025-11-14T11:02:45
fake_2,54,200,70.47,FAKE,2025-11-14T11:02:45
fake_2,55,200,77.07,FAKE,2025-11-14T11:02:45
fake_2,56,200,59.26,FAKE,2025-11-14T11:02:45
fake_2,57,200,68.24,FAKE,2025-11-14T11:02:45
fake_2,58,200,72.03,FAKE,2025-11-14T11:02:45
fake_2,59,200,59.49,FAKE,2025-11-14T11:02:45
fake_2,60,200,60.85,FAKE,2025-11-14T11:02:45
fake_2,61,200,55.63,FAKE,2025-11-14T11:02:45
fake_2,62,200,57.51,FAKE,2025-11-14T11:02:45
fake_2,63,200,59.1,FAKE,2025-11-14T11:02:45
