case,iter,status_code,latency_ms,prediction,timestamp_start_iso
real_1,1,200,79.32,REAL,2025-11-14T11:02:48
real_1,2,200,81.27,REAL,2025-11-14T11:02:48
real_1,3,200,74.47,REAL,2025-11-14T11:02:48
real_1,4,200,60.17,REAL,2025-11-14T11:02:48
real_1,5,200,64.8,REAL,2025-11-14T11:02:48
real_1,6,200,92.07,REAL,2025-11-14T11:02:48
real_1,7,200,65.09,REAL,2025-11-14T11:02:49
real_1,8,200,88.93,REAL,2025-11-14T11:02:49
real_1,9,200,82.58,REAL,2025-11-14T11:02:49
real_1,10,200,68.49,REAL,2025-11-14T11:02:49
real_1,11,200,71.08,REAL,2025-11-14T11:02:49
real_1,12,200,65.34,REAL,2025-11-14T11:02:49
real_1,13,200,61.95,REAL,2025-11-14T11:02:49
real_1,14,200,72.42,REAL,2025-11-14T11:02:49
real_1,15,200,65.97,REAL,2025-11-14T11:02:49
real_1,16,200,68.54,REAL,2025-11-14T11:02:49
real_1,17,200,84.98,REAL,2025-11-14T11:02:49
real_1,18,200,78.47,REAL,2025-11-14T11:02:49
real_1,19,200,67.34,REAL,2025-11-14T11:02:49
real_1,20,200,67.73,REAL,2025-11-14T11:02:50
real_1,21,200,81.3,REAL,2025-11-14T11:02:50
real_1,22,200,78.23,REAL,2025-11-14T11:02:50
real_1,23,200,66.67,REAL,2025-11-14T11:02:50
real_1,24,200,65.15,REAL,2025-11-14T11:02:50
real_1,25,200,76.86,REAL,2025-11-14T11:02:50
real_1,26,200,93.37,REAL,2025-11-14T11:02:50
real_1,27,200,70.36,REAL,2025-11-14T11:02:50
real_1,28,200,80.4,REAL,2025-11-14T11:02:50
real_1,29,200,76.41,REAL,2025-11-14T11:02:50
real_1,30,200,78.38,REAL,2025-11-14T11:02:50
real_1,31,200,66.74,REAL,2025-11-14T11:02:50
real_1,32,200,62.65,REAL,2025-11-14T11:02:50
real_1,33,200,64.02,REAL,2025-11-14T11:02:50
real_1,34,200,73.46,REAL,2025-11-14T11:02:51
real_1,35,200,75.35,REAL,2025-11-14T11:02:51
real_1,36,200,76.68,REAL,2025-11-14T11:02:51
real_1,37,200,1172.46,REAL,2025-11-14T11:02:51
real_1,38,200,76.74,REAL,2025-11-14T11:02:52
real_1,39,200,70.57,REAL,2025-11-14T11:02:52
real_1,40,200,85.44,REAL,2025-11-14T11:02:52
real_1,41,200,74.58,REAL,2025-11-14T11:02:52
real_1,42,200,78.15,REAL,2025-11-14T11:02:52
real_1,43,200,67.71,REAL,2025-11-14T11:02:52
real_1,44,200,80.83,REAL,2025-11-14T11:02:52
real_1,45,200,70.56,REAL,2025-11-14T11:02:52
real_1,46,200,77.95,REAL,2025-11-14T11:02:53
real_1,47,200,68.26,REAL,2025-11-14T11:02:53
real_1,48,200,110.48,REAL,2025-11-14T11:02:53
real_1,49,200,77.51,REAL,2025-11-14T11:02:53
real_1,50,200,78.25,REAL,2025-11-14T11:02:53
real_1,51,200,93.23,REAL,2025-11-14T11:02:53
real_1,52,200,82.44,REAL,2025-11-14T11:02:53
real_1,53,200,184.57,REAL,2025-11-14T11:02:53
real_1,54,200,93.61,REAL,2025-11-14T11:02:53
real_1,55,200,139.73,REAL,2025-11-14T11:02:53
real_1,56,200,103.4,REAL,2025-11-14T11:02:54
real_1,57,200,114.76,REAL,2025-11-14T11:02:54
real_1,58,200,123.48,REAL,2025-11-14T11:02:54
real_1,59,200,150.06,REAL,2025-11-14T11:02:54
real_1,60,200,151.61,REAL,2025-11-14T11:02:54
real_1,61,200,135.92,REAL,2025-11-14T11:02:54
real_1,62,200,167.82,REAL,2025-11-14T11:02:54
real_1,63,200,178.58,REAL,2025-11-14T11:02:55
real_1,64,200,69.69,REAL,2025-11-14T11:02:55
real_1,65,200,177.97,REAL,2025-11-14T11:02:55
real_1,66,200,73.92,REAL,2025-11-14T11:02:55
real_1,67,200,69.38,REAL,2025-11-14T11:02:55
real_1,68,200,65.09,REAL,2025-11-14T11:02:55
real_1,69,200,74.79,REAL,2025-11-14T11:02:55
real_1,70,200,94.72,REAL,2025-11-14T11:02:55
real_1,71,200,63.77,REAL,2025-11-14T11:02:55
real_1,72,200,65.61,REAL,2025-11-14T11:02:55
real_1,73,200,69.71,REAL,2025-11-14T11:02:55
real_1,74,200,80.02,REAL,2025-11-14T11:02:56
real_1,75,200,80.52,REAL,2025-11-14T11:02:56
real_1,76,200,66.61,REAL,2025-11-14T11:02:56
real_1,77,200,58.7,REAL,2025-11-14T11:02:56
real_1,78,200,72.08,REAL,2025-11-14T11:02:56
real_1,79,200,60.74,REAL,2025-11-14T11:02:56
real_1,80,200,77.25,REAL,2025-11-14T11:02:56
real_1,81,200,62.26,REAL,2025-11-14T11:02:56
real_1,82,200,67.06,REAL,2025-11-14T11:02:56
real_1,83,200,66.12,REAL,2025-11-14T11:02:56
real_1,84,200,63.96,REAL,2025-11-14T11:02:56
real_1,85,200,87.43,REAL,2025-11-14T11:02:56
real_1,86,200,59.16,REAL,2025-11-14T11:02:56
real_1,87,200,73.41,REAL,2025-11-14T11:02:56
real_1,88,200,81.53,REAL,2025-11-14T11:02:56
real_1,89,200,75.41,REAL,2025-11-14T11:02:57
real_1,90,200,68.97,REAL,2025-11-14T11:02:57
real_1,91,200,59.41,REAL,2025-11-14T11:02:57
real_1,92,200,81.43,REAL,2025-11-14T11:02:57
real_1,93,200,66.84,REAL,2025-11-14T11:02:57
real_1,94,200,81.2,REAL,2025-11-14T11:02:57
real_1,95,200,82.6,REAL,2025-11-14T11:02:57
real_1,96,200,59.61,REAL,2025-11-14T11:02:57
real_1,97,200,76.2,REAL,2025-11-14T11:02:57
real_1,98,200,59.89,REAL,2025-11-14T11:02:57
real_1,99,200,63.39,REAL,2025-11-14T11:02:57
real_1,100,200,82.23,REAL,2025-11-14T11:02:57
