case,iter,status_code,latency_ms,prediction,timestamp_start_iso
fake_1,1,200,113.97,FAKE,2025-11-14T11:02:34
fake_1,2,200,61.09,FAKE,2025-11-14T11:02:34
fake_1,3,200,60.25,FAKE,2025-11-14T11:02:34
fake_1,4,200,68.45,FAKE,2025-11-14T11:02:34
fake_1,5,200,83.62,FAKE,2025-11-14T11:02:34
fake_1,6,200,83.97,FAKE,2025-11-14T11:02:34
fake_1,7,200,89.7,FAKE,2025-11-14T11:02:34
fake_1,8,200,62.11,FAKE,2025-11-14T11:02:34
fake_1,9,200,63.08,FAKE,2025-11-14T11:02:34
fake_1,10,200,75.68,FAKE,2025-11-14T11:02:34
fake_1,11,200,62.41,FAKE,2025-11-14T11:02:34
fake_1,12,200,68.83,FAKE,2025-11-14T11:02:34
fake_1,13,200,60.8,FAKE,2025-11-14T11:02:34
fake_1,14,200,65.04,FAKE,2025-11-14T11:02:34
fake_1,15,200,90.54,FAKE,2025-11-14T11:02:35
fake_1,16,200,62.09,FAKE,2025-11-14T11:02:35
fake_1,17,200,79.92,FAKE,2025-11-14T11:02:35
fake_1,18,200,89.02,FAKE,2025-11-14T11:02:35
fake_1,19,200,61.19,FAKE,2025-11-14T11:02:35
fake_1,20,200,72.98,FAKE,2025-11-14T11:02:35
fake_1,21,200,87.03,FAKE,2025-11-14T11:02:35
fake_1,22,200,71.98,FAKE,2025-11-14T11:02:35
fake_1,23,200,60.47,FAKE,2025-11-14T11:02:35
fake_1,24,200,79.74,FAKE,2025-11-14T11:02:35
fake_1,25,200,61.97,FAKE,2025-11-14T11:02:35
fake_1,26,200,66.61,FAKE,2025-11-14T11:02:35
fake_1,27,200,100.31,FAKE,2025-11-14T11:02:35
fake_1,28,200,75.54,FAKE,2025-11-14T11:02:36
fake_1,29,200,77.99,FAKE,2025-11-14T11:02:36
fake_1,30,200,96.66,FAKE,2025-11-14T11:02:36
fake_1,31,200,86.8,FAKE,2025-11-14T11:02:36
fake_1,32,200,65.07,FAKE,2025-11-14T11:02:36
fake_1,33,200,57.05,FAKE,2025-11-14T11:02:36
fake_1,34,200,63.51,FAKE,2025-11-14T11:02:36
fake_1,35,200,79.14,FAKE,2025-11-14T11:02:36
fake_1,36,200,78.23,FAKE,2025-11-14T11:02:36
fake_1,37,200,89.26,FAKE,2025-11-14T11:02:36
fake_1,38,200,93.53,FAKE,2025-11-14T11:02:36
fake_1,39,200,91.52,FAKE,2025-11-14T11:02:36
fake_1,40,200,88.35,FAKE,2025-11-14T11:02:36
fake_1,41,200,71.2,FAKE,2025-11-14T11:02:37
fake_1,42,200,77.43,FAKE,2025-11-14T11:02:37
fake_1,43,200,78.54,FAKE,2025-11-14T11:02:37
fake_1,44,200,84.68,FAKE,2025-11-14T11:02:37
fake_1,45,200,76.84,FAKE,2025-11-14T11:02:37
fake_1,46,200,89.14,FAKE,2025-11-14T11:02:37
fake_1,47,200,82.17,FAKE,2025-11-14T11:02:37
fake_1,48,200,80.12,FAKE,2025-11-14T11:02:37
fake_1,49,200,87.52,FAKE,2025-11-14T11:02:37
fake_1,50,200,76.08,FAKE,2025-11-14T11:02:37
fake_1,51,200,83.11,FAKE,2025-11-14T11:02:37
fake_1,52,200,81.67,FAKE,2025-11-14T11:02:37
fake_1,53,200,85.46,FAKE,2025-11-14T11:02:38
fake_1,54,200,68.76,FAKE,2025-11-14T11:02:38
fake_1,55,200,88.52,FAKE,2025-11-14T11:02:38
fake_1,56,200,81.95,FAKE,2025-11-14T11:02:38
fake_1,57,200,75.48,FAKE,2025-11-14T11:02:38
fake_1,58,200,75.55,FAKE,2025-11-14T11:02:38
fake_1,59,200,57.05,FAKE,2025-11-14T11:02:38
fake_1,60,200,94.54,FAKE,2025-11-14T11:02:38
fake_1,61,200,74.35,FAKE,2025-11-14T11:02:38
fake_1,62,200,73.64,FAKE,2025-11-14T11:02:38
fake_1,63,200,90.15,FAKE,2025-11-14T11:02:38
fake_1,64,200,82.76,FAKE,2025-11-14T11:02:38
fake_1,65,200,58.89,FAKE,2025-11-14T11:02:38
fake_1,66,200,61.83,FAKE,2025-11-14T11:02:39
fake_1,67,200,56.88,FAKE,2025-11-14T11:02:39
fake_1,68,200,72.98,FAKE,2025-11-14T11:02:39
fake_1,69,200,96.86,FAKE,2025-11-14T11:02:39
fake_1,70,200,69.43,FAKE,2025-11-14T11:02:39
fake_1,71,200,70.89,FAKE,2025-11-14T11:02:39
fake_1,72,200,68.98,FAKE,2025-11-14T11:02:39
