case,iter,status_code,latency_ms,prediction,timestamp_start_iso
real_1,89,200,75.41,REAL,2025-11-14T11:02:57
real_1,90,200,68.97,REAL,2025-11-14T11:02:57
real_1,91,200,59.41,REAL,2025-11-14T11:02:57
real_1,92,200,81.43,REAL,2025-11-14T11:02:57
real_1,93,200,66.84,REAL,2025-11-14T11:02:57
real_1,94,200,81.2,REAL,2025-11-14T11:02:57
real_1,95,200,82.6,REAL,2025-11-14T11:02:57
real_1,96,200,59.61,REAL,2025-11-14T11:02:57
real_1,97,200,76.2,REAL,2025-11-14T11:02:57
real_1,98,200,59.89,REAL,2025-11-14T11:02:57
real_1,99,200,63.39,REAL,2025-11-14T11:02:57
real_1,100,200,82.23,REAL,2025-11-14T11:02:57
real_2,1,200,74.56,REAL,2025-11-14T11:02:57
real_2,2,200,80.36,REAL,2025-11-14T11:02:58
real_2,3,200,78.44,REAL,2025-11-14T11:02:58
real_2,4,200,69.91,REAL,2025-11-14T11:02:58
real_2,5,200,59.49,REAL,2025-11-14T11:02:58
real_2,6,200,59.28,REAL,2025-11-14T11:02:58
real_2,7,200,72.0,REAL,2025-11-14T11:02:58
real_2,8,200,83.58,REAL,2025-11-14T11:02:58
real_2,9,200,83.21,REAL,2025-11-14T11:02:58
real_2,10,200,79.67,REAL,2025-11-14T11:02:58
real_2,11,200,59.67,REAL,2025-11-14T11:02:58
real_2,12,200,69.06,REAL,2025-11-14T11:02:58
real_2,13,200,74.65,REAL,2025-11-14T11:02:58
real_2,14,200,56.5,REAL,2025-11-14T11:02:58
real_2,15,200,60.42,REAL,2025-11-14T11:02:58
real_2,16,200,59.38,REAL,2025-11-14T11:02:59
real_2,17,200,59.16,REAL,2025-11-14T11:02:59
real_2,18,200,70.95,REAL,2025-11-14T11:02:59
real_2,19,200,61.33,REAL,2025-11-14T11:02:59
real_2,20,200,58.37,REAL,2025-11-14T11:02:59
real_2,21,200,77.71,REAL,2025-11-14T11:02:59
real_2,22,200,71.13,REAL,2025-11-14T11:02:59
real_2,23,200,80.24,REAL,2025-11-14T11:02:59
real_2,24,200,72.88,REAL,2025-11-14T11:02:59
real_2,25,200,79.29,REAL,2025-11-14T11:02:59
real_2,26,200,57.76,REAL,2025-11-14T11:02:59
real_2,27,200,59.99,REAL,2025-11-14T11:02:59
real_2,28,200,60.6,REAL,2025-11-14T11:02:59
real_2,29,200,89.52,REAL,2025-11-14T11:02:59
real_2,30,200,82.2,REAL,2025-11-14T11:02:59
real_2,31,200,84.93,REAL,2025-11-14T11:03:00
real_2,32,200,79.63,REAL,2025-11-14T11:03:00
real_2,33,200,71.47,REAL,2025-11-14T11:03:00
real_2,34,200,80.44,REAL,2025-11-14T11:03:00
real_2,35,200,58.07,REAL,2025-11-14T11:03:00
real_2,36,200,76.42,REAL,2025-11-14T11:03:00
real_2,37,200,82.2,REAL,2025-11-14T11:03:00
real_2,38,200,81.31,REAL,2025-11-14T11:03:00
real_2,39,200,69.1,REAL,2025-11-14T11:03:00
real_2,40,200,86.6,REAL,2025-11-14T11:03:00
real_2,41,200,82.0,REAL,2025-11-14T11:03:00
real_2,42,200,77.66,REAL,2025-11-14T11:03:00
real_2,43,200,59.59,REAL,2025-11-14T11:03:00
real_2,44,200,76.21,REAL,2025-11-14T11:03:01
real_2,45,200,55.94,REAL,2025-11-14T11:03:01
real_2,46,200,73.79,REAL,2025-11-14T11:03:01
real_2,47,200,83.58,REAL,2025-11-14T11:03:01
real_2,48,200,87.19,REAL,2025-11-14T11:03:01
real_2,49,200,81.01,REAL,2025-11-14T11:03:01
real_2,50,200,58.04,REAL,2025-11-14T11:03:01
real_2,51,200,58.29,REAL,2025-11-14T11:03:01
real_2,52,200,69.17,REAL,2025-11-14T11:03:01
real_2,53,200,83.18,REAL,2025-11-14T11:03:01
real_2,54,200,84.02,REAL,2025-11-14T11:03:01
real_2,55,200,83.62,REAL,2025-11-14T11:03:01
real_2,56,200,86.4,REAL,2025-11-14T11:03:01
real_2,57,200,83.11,REAL,2025-11-14T11:03:02
real_2,58,200,77.38,REAL,2025-11-14T11:03:02
real_2,59,200,73.28,REAL,2025-11-14T11:03:02
real_2,60,200,83.0,REAL,2025-11-14T11:03:02
real_2,61,200,69.67,REAL,2025-11-14T11:03:02
real_2,62,200,79.1,REAL,2025-11-14T11:03:02
real_2,63,200,92.58,REAL,2025-11-14T11:03:02
real_2,64,200,69.74,REAL,2025-11-14T11:03:02
real_2,65,200,104.77,REAL,2025-11-14T11:03:02
real_2,66,200,81.62,REAL,2025-11-14T11:03:02
real_2,67,200,80.39,REAL,2025-11-14T11:03:02
real_2,68,200,100.49,REAL,2025-11-14T11:03:02
real_2,69,200,102.68,REAL,2025-11-14T11:03:03
real_2,70,200,83.39,REAL,2025-11-14T11:03:03
real_2,71,200,64.06,REAL,2025-11-14T11:03:03
real_2,72,200,64.73,REAL,2025-11-14T11:03:03
real_2,73,200,105.55,REAL,2025-11-14T11:03:03
real_2,74,200,83.01,REAL,2025-11-14T11:03:03
real_2,75,200,113.42,REAL,2025-11-14T11:03:03
real_2,76,200,103.15,REAL,2025-11-14T11:03:03
real_2,77,200,97.06,REAL,2025-11-14T11:03:03
real_2,78,200,104.11,REAL,2025-11-14T11:03:03
real_2,79,200,113.08,REAL,2025-11-14T11:03:03
real_2,80,200,97.48,REAL,2025-11-14T11:03:04
real_2,81,200,84.6,REAL,2025-11-14T11:03:04
real_2,82,200,86.11,REAL,2025-11-14T11:03:04
real_2,83,200,77.32,REAL,2025-11-14T11:03:04
real_2,84,200,84.63,REAL,2025-11-14T11:03:04
real_2,85,200,59.63,REAL,2025-11-14T11:03:04
real_2,86,200,68.26,REAL,2025-11-14T11:03:04
real_2,87,200,71.65,REAL,2025-11-14T11:03:04
real_2,88,200,88.69,REAL,2025-11-14T11:03:04
real_2,89,200,77.1,REAL,2025-11-14T11:03:04
real_2,90,200,78.7,REAL,2025-11-14T11:03:04
real_2,91,200,88.17,REAL,2025-11-14T11:03:04
real_2,92,200,90.37,REAL,2025-11-14T11:03:05
real_2,93,200,83.0,REAL,2025-11-14T11:03:05
real_2,94,200,78.04,REAL,2025-11-14T11:03:05
real_2,95,200,57.81,REAL,2025-11-14T11:03:05
real_2,96,200,60.35,REAL,2025-11-14T11:03:05
real_2,97,200,76.6,REAL,2025-11-14T11:03:05
real_2,98,200,85.3,REAL,2025-11-14T11:03:05
real_2,99,200,60.31,REAL,2025-11-14T11:03:05
real_2,100,200,58.0,REAL,2025-11-14T11:03:05
